year,state_fips,state_abbr,state_name,region,division,total_jail_pop,male_jail_pop,female_jail_pop,black_jail_pop,black_male_jail_pop,black_female_jail_pop,latinx_jail_pop,latinx_male_jail_pop,latinx_female_jail_pop,white_jail_pop,white_male_jail_pop,white_female_jail_pop,native_jail_pop,aapi_jail_pop,other_race_jail_pop,total_pretrial_custody,total_pretrial_juris,total_jail_from_fed,total_jail_from_prison,total_jail_from_other_jail,total_jail_from_bia,total_jail_from_bop,total_jail_from_ice,total_jail_from_marshals,total_jail_from_other_fed,total_contracted_out,total_contracted_in,total_jail_admits,male_jail_admits,female_jail_admits,total_jail_discharges,male_jail_discharges,female_jail_discharges,jail_rated_capacity,total_sentenced_custody,is_unified_state,total_prison_pop,female_prison_pop,male_prison_pop,black_prison_pop,black_male_prison_pop,black_female_prison_pop,latinx_prison_pop,latinx_male_prison_pop,latinx_female_prison_pop,white_prison_pop,white_male_prison_pop,white_female_prison_pop,native_prison_pop,native_male_prison_pop,native_female_prison_pop,aapi_prison_pop,aapi_male_prison_pop,aapi_female_prison_pop,other_race_prison_pop,other_race_male_prison_pop,other_race_female_prison_pop,total_prison_admits,male_prison_admits,female_prison_admits,black_prison_admits,black_male_prison_admits,black_female_prison_admits,latinx_prison_admits,latinx_male_prison_admits,latinx_female_prison_admits,white_prison_admits,white_male_prison_admits,white_female_prison_admits,native_prison_admits,native_male_prison_admits,native_female_prison_admits,aapi_prison_admits,aapi_male_prison_admits,aapi_female_prison_admits,other_race_prison_admits,other_race_male_prison_admits,other_race_female_prison_admits,total_pop_15to64,male_pop_15to64,female_pop_15to64,black_pop_15to64,black_male_pop_15to64,black_female_pop_15to64,latinx_pop_15to64,latinx_male_pop_15to64,latinx_female_pop_15to64,white_pop_15to64,white_male_pop_15to64,white_female_pop_15to64,native_pop_15to64,native_male_pop_15to64,native_female_pop_15to64,aapi_pop_15to64,aapi_male_pop_15to64,aapi_female_pop_15to64,total_incarceration,total_incarceration_rate,total_jail_pop_rate,male_jail_pop_rate,female_jail_pop_rate,black_jail_pop_rate,latinx_jail_pop_rate,white_jail_pop_rate,native_jail_pop_rate,aapi_jail_pop_rate,total_pretrial_custody_rate,total_sentenced_custody_rate,total_jail_admits_rate,male_jail_admits_rate,female_jail_admits_rate,total_jail_discharges_rate,male_jail_discharges_rate,female_jail_discharges_rate,total_prison_pop_rate,male_prison_pop_rate,female_prison_pop_rate,black_prison_pop_rate,black_male_prison_pop_rate,black_female_prison_pop_rate,latinx_prison_pop_rate,latinx_male_prison_pop_rate,latinx_female_prison_pop_rate,white_prison_pop_rate,white_male_prison_pop_rate,white_female_prison_pop_rate,native_prison_pop_rate,native_male_prison_pop_rate,native_female_prison_pop_rate,aapi_prison_pop_rate,aapi_male_prison_pop_rate,aapi_female_prison_pop_rate,total_prison_admits_rate,male_prison_admits_rate,female_prison_admits_rate,black_prison_admits_rate,black_male_prison_admits_rate,black_female_prison_admits_rate,latinx_prison_admits_rate,latinx_male_prison_admits_rate,latinx_female_prison_admits_rate,white_prison_admits_rate,white_male_prison_admits_rate,white_female_prison_admits_rate,native_prison_admits_rate,native_male_prison_admits_rate,native_female_prison_admits_rate,aapi_prison_admits_rate,aapi_male_prison_admits_rate,aapi_female_prison_admits_rate
2024,02,AK,Alaska,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,4444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482067,258161,223906,21924,12984,8940,35693,19440,16253,302739,164265,138474,77019,39733,37286,44692,21739,22953,,,,,,,,,,,,,,,,,,,921.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,02,AK,Alaska,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,4487.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482067,258161,223906,21924,12984,8940,35693,19440,16253,302739,164265,138474,77019,39733,37286,44692,21739,22953,,,,,,,,,,,,,,,,,,,930.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,02,AK,Alaska,West,Pacific,2934,2599,335,,,,,,,,,,,,,2305,,,,,,,,,,,,1521,,,,,,,,true,4778,456,4322,446,426,20,121,112,9,1740,1570,170,1870,1681,189,220,201,19,,,,1521,1209,,,,,,,,,,,,,,,,,,,,483453,258621,224832,21876,12927,8949,34915,18964,15951,305081,165346,139735,77215,39793,37422,44366,21591,22775,7712,1595.19,606.88,1004.95,149,,,,,,5195.42,,314.61,,,,,,988.31,1671.17,202.82,2038.76,3295.43,223.49,346.56,590.59,56.42,570.34,949.52,121.66,2421.81,4224.36,505.05,495.88,930.94,83.42,314.61,467.48,,,,,,,,,,,,,,,,
2021,02,AK,Alaska,West,Pacific,3076,2719,357,,,,,,,,,,,,,2420,,,,,,,,,,,,1457,,,,,,,,true,4639,442,4197,465,441,24,125,111,14,1895,1692,203,1855,1679,176,253,233,20,,,,1457,1244,,,,,,,,,,,,,,,,,,,,486876,260291,226585,21853,12919,8934,34115,18505,15610,309077,167317,141760,77522,39897,37625,44309,21653,22656,7715,1584.59,631.78,1044.6,157.56,,,,,,5461.64,,299.25,,,,,,952.81,1612.43,195.07,2127.85,3413.58,268.64,366.41,599.84,89.69,613.12,1011.25,143.2,2392.87,4208.34,467.77,570.99,1076.06,88.28,299.25,477.93,,,,,,,,,,,,,,,,
2020,02,AK,Alaska,West,Pacific,2784,2464,320,,,,,,,,,,,,,2422,,,,,,,,,,,,1664,,,,,,,,true,4578,419,4159,464,440,24,124,110,14,1850,1682,168,1956,1761,195,135,120,15,,,,1664,1436,,,,,,,,,,,,,,,,,,,,487876,260367,227509,21762,12811,8951,33165,17958,15207,311621,168456,143165,77234,39605,37629,44094,21537,22557,7362,1508.99,570.64,946.36,140.65,,,,,,5492.81,,341.07,,,,,,938.35,1597.36,184.17,2132.16,3434.55,268.13,373.89,612.54,92.06,593.67,998.48,117.35,2532.56,4446.41,518.22,306.16,557.18,66.5,341.07,551.53,,,,,,,,,,,,,,,,
2019,02,AK,Alaska,West,Pacific,62,35,8,0,,,1,,,22,,,15,0,0,18,,0,12,0,0,0,0,0,0,,,1021.5,811.5,210,897.75,705.75,192,126,28,true,4475,426,4049,454,429,25,123,113,10,1863,1665,198,1777,1604,173,226,206,20,,,,1560,1425,,,,,,,,,,,,,,,,,,,,492288,262363,229925,21891,12838,9053,33294,18066,15228,316022,170531,145491,77104,39497,37607,43977,21431,22546,4525,919.18,12.59,13.34,3.48,0,3,6.96,19.45,0,40.93,63.67,207.5,309.3,91.33,182.36,269,83.51,909.02,1543.28,185.28,2073.91,3341.64,276.15,369.44,625.48,65.67,589.52,976.36,136.09,2304.68,4061.07,460.02,513.9,961.22,88.71,316.89,543.14,,,,,,,,,,,,,,,,
2018,02,AK,Alaska,West,Pacific,61.5,45.18,13.82,0,,,1.17,,,17.88,,,12.45,0,0,17.78,,0,15.67,0.34,0,0,0,0,0,,,1060.5,825.25,235.25,912.08,715.7,196.38,129.33,13.22,true,4380,379,4001,447,426,21,125,113,12,1877,1708,169,1679,1518,161,224,209,15,,,,1765,1495,,,,,,,,,,,,,,,,,,,,497202,264712,232490,22000,12904,9096,33246,17958,15288,321194,173184,148010,77175,39482,37693,43587,21184,22403,4425.83,890.15,12.37,17.07,5.94,0,3.52,5.57,16.13,0,40.79,30.33,213.29,311.75,101.19,183.44,270.37,84.47,880.93,1511.45,163.02,2031.82,3301.3,230.87,375.99,629.25,78.49,584.38,986.23,114.18,2175.57,3844.79,427.14,513.91,986.59,66.96,354.99,564.76,,,,,,,,,,,,,,,,
2017,02,AK,Alaska,West,Pacific,75.6,58.2,17.4,0,,,0.83,,,24.5,,,24.67,0,0,28.5,,0,19.33,0.66,0,0,0,0,0,,,1242.12,957.12,285,935.43,733.15,202.28,132.67,20.5,true,4399,388,4011,486,459,27,131,119,12,1928,1744,184,1611,1467,144,211,194,17,,,,1580,1446,,,,,,,,,,,,,,,,,,,,503728,268244,235484,22087,12926,9161,33295,17938,15357,327607,176744,150863,77198,39460,37738,43541,21176,22365,4455.27,884.46,15.01,21.7,7.39,0,2.49,7.48,31.96,0,65.46,47.08,246.59,356.81,121.03,185.7,273.31,85.9,873.29,1495.28,164.77,2200.39,3550.98,294.73,393.45,663.4,78.14,588.51,986.74,121.96,2086.84,3717.69,381.58,484.6,916.13,76.01,313.66,539.06,,,,,,,,,,,,,,,,
2016,02,AK,Alaska,West,Pacific,75.2,59.12,16.08,0,,,0.83,,,24.25,,,28.92,0,0,31,,0,23,1,0,0,0,0,0,,,1294.25,1050,244.25,958.74,750.58,208.16,136,22,true,4434,410,4024,454,429,25,136,122,14,1965,1763,202,1609,1463,146,196,183,13,,,,1804,1502,,,,,,,,,,,,,,,,,,,,508537,271019,237518,21890,12890,9000,32801,17665,15136,334461,180476,153985,77277,39561,37716,42108,20427,21681,4486.2,882.18,14.79,21.81,6.77,0,2.53,7.25,37.42,0,73.62,52.25,254.5,387.43,102.83,188.53,276.95,87.64,871.91,1484.77,172.62,2074.01,3328.16,277.78,414.62,690.63,92.49,587.51,976.86,131.18,2082.12,3698.09,387.1,465.47,895.87,59.96,354.74,554.2,,,,,,,,,,,,,,,,
2015,02,AK,Alaska,West,Pacific,68.8,52.93,15.87,0,,,0.67,,,27.25,,,25.08,0,0,29.42,,0,26.67,1.34,0,0,0,0,0,,,1394,1114.8,279.2,982.1,768.04,214.06,139.33,22.58,true,5338,577,4761,531,502,29,149,133,16,2470,2160,310,1919,1716,203,224,210,14,,,,4271,3131,,,,,,,,,,,,,,,,,,,,509135,271273,237862,21445,12648,8797,32194,17382,14812,337771,182098,155673,77122,39456,37666,40603,19689,20914,5380.13,1056.72,13.51,19.51,6.67,0,2.08,8.07,32.52,0,72.46,55.61,273.8,410.95,117.38,192.9,283.12,89.99,1048.44,1755.06,242.58,2476.1,3969.01,329.66,462.82,765.16,108.02,731.26,1186.17,199.14,2488.27,4349.15,538.95,551.68,1066.59,66.94,838.87,1154.19,,,,,,,,,,,,,,,,
2014,02,AK,Alaska,West,Pacific,73.4,56.63,16.77,0,,,1,,,29,,,26,0,0,30.83,,0,30.33,1.66,0,0,0,0,0,,,1367,1069.13,297.87,1005.44,785.5,219.94,142.67,24.17,true,5794,703,5091,461,429,32,128,114,14,2545,2180,365,1868,1654,214,47,43,4,,,,3846,3145,,,,,,,,,,,,,,,,,,,,510974,271871,239103,21357,12551,8806,31772,17071,14701,341479,183794,157685,76810,39244,37566,39556,19211,20345,5837.07,1142.34,14.36,20.83,7.01,0,3.15,8.49,33.85,0,77.94,61.1,267.53,393.25,124.58,196.77,288.92,91.99,1133.91,1872.58,294.02,2158.54,3418.05,363.39,402.87,667.8,95.23,745.29,1186.11,231.47,2431.98,4214.66,569.66,118.82,223.83,19.66,752.68,1156.8,,,,,,,,,,,,,,,,
2013,02,AK,Alaska,West,Pacific,82,66,16,3.36,,,3.17,,,44.27,,,40.9,4.75,0,43,,0,42,2,0,0,0,0,0,,,1348,1078.74,269.26,1028.78,802.94,225.84,156,39,true,5081,631,4450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3906,3199,,,,,,,,,,,,,,,,,,,,513921,272865,241056,21313,12479,8834,30917,16615,14302,346296,186025,160271,76526,38982,37544,38869,18764,20105,5121,996.46,15.96,24.19,6.64,15.77,10.25,12.78,53.45,12.22,110.63,100.34,262.3,395.34,111.7,200.18,294.26,93.69,988.67,1630.84,261.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760.04,1172.37,,,,,,,,,,,,,,,,
2012,02,AK,Alaska,West,Pacific,74,56,18,1.57,,,1.73,,,34.68,,,33.85,2.16,0,39.59,,2,40.43,1.76,0,0,0,0,2,,,1363,1105.75,257.25,1052.1,820.4,231.7,156.5,34.41,true,5633,699,4934,521,472,49,146,132,14,2655,2303,352,2109,1852,257,165,146,19,,,,3906,3199,,,,,,,,,,,,,,,,,,,,511079,269979,241100,20789,12061,8728,29395,15525,13870,347751,186046,161705,75891,38447,37444,37253,17900,19353,5666.57,1108.75,14.48,20.74,7.47,7.55,5.89,9.97,44.6,5.8,106.27,92.37,266.69,409.57,106.7,205.86,303.88,96.1,1102.18,1827.55,289.92,2506.13,3913.44,561.41,496.68,850.24,100.94,763.48,1237.87,217.68,2778.99,4817.02,686.36,442.92,815.64,98.18,764.27,1184.91,,,,,,,,,,,,,,,,
2011,02,AK,Alaska,West,Pacific,77.25,59.55,17.7,2.16,,,1.19,,,38.29,,,31.88,3.73,0,42.99,,4,38.89,1.5,0,0,0,0,4,,,1626.75,1293.44,333.31,1075.42,837.83,237.59,157,34.26,true,5597,665,4932,552,505,47,135,124,11,2677,2319,358,2037,1815,222,165,146,19,,,,3789,3090,,,,,,,,,,,,,,,,,,,,506862,266848,240014,19594,11245,8349,27373,14327,13046,348692,185986,162706,75464,38182,37282,35739,17108,18631,5635.36,1111.81,15.24,22.32,7.37,11.02,4.35,10.98,42.25,10.44,120.29,95.86,320.95,484.71,138.87,212.17,313.97,98.99,1104.25,1848.24,277.07,2817.19,4490.88,562.94,493.19,865.5,84.32,767.73,1246.87,220.03,2699.3,4753.55,595.46,461.68,853.4,101.98,747.54,1157.96,,,,,,,,,,,,,,,,
2010,02,AK,Alaska,West,Pacific,67.5,53.1,14.4,1.3,,,1.17,,,30.95,,,31.36,2.74,0,38.71,,6,37.35,1.24,0,0,0,0,6,,,1471.5,1164.2,307.3,1098.76,855.26,243.5,157.5,28.79,true,5391,609,4782,528,491,37,163,147,16,2682,2332,350,2002,1784,218,14,12,2,,,,2650,2287,,,,,,,,,,,,,,,,,,,,502076,264252,237824,18941,10825,8116,25962,13516,12446,348027,185817,162210,74811,37757,37054,34335,16337,17998,5421.15,1079.75,13.44,20.09,6.05,6.86,4.51,8.89,41.92,7.98,112.74,83.85,293.08,440.56,129.21,218.84,323.65,102.39,1073.74,1809.64,256.07,2787.6,4535.8,455.89,627.84,1087.6,128.56,770.63,1255,215.77,2676.08,4724.95,588.33,40.77,73.45,11.11,527.81,865.46,,,,,,,,,,,,,,,,
2009,02,AK,Alaska,West,Pacific,60.75,49.65,11.1,0.69,,,1.09,,,23.01,,,33.62,2.36,0,36.17,,8,27.79,1,0,0,0,0,8,,,1316.75,1064.51,252.24,991.67,775.55,216.12,138,24.58,true,5285,589,4696,550,506,44,128,115,13,2540,2212,328,1866,1684,182,,,,,,,2761,2341,,,,,,,,,,,,,,,,,,,,491977,256661,235316,18046,10016,8030,24637,12627,12010,342254,181203,161051,74269,37396,36873,32771,15419,17352,5317.96,1080.94,12.35,19.34,4.72,3.82,4.42,6.72,45.27,7.2,110.37,75.01,267.64,414.75,107.19,201.57,302.17,91.84,1074.24,1829.65,250.3,3047.77,5051.92,547.95,519.54,910.75,108.24,742.14,1220.73,203.66,2512.49,4503.16,493.59,,,,561.21,912.1,,,,,,,,,,,,,,,,
2008,02,AK,Alaska,West,Pacific,62.5,52.14,10.36,1.09,,,1.37,,,26.46,,,31.45,2.16,0,38.9,,10,34.22,0.76,0,0,0,0,10,,,1339.06,1078.03,229.78,1145.46,890.19,255.27,158.5,23.6,true,5014,503,4511,500,465,35,128,117,11,2428,2153,275,1790,1626,164,,,,,,,4857,4198,,,,,,,,,,,,,,,,,,,,486999,256244,230755,18068,10224,7844,24044,12588,11456,340651,181856,158795,73222,36953,36269,31014,14623,16391,5042.28,1035.38,12.83,20.35,4.49,6.03,5.7,7.77,42.95,6.96,125.43,76.09,274.96,420.7,99.58,235.21,347.4,110.62,1029.57,1760.43,217.98,2767.32,4548.12,446.2,532.36,929.46,96.02,712.75,1183.9,173.18,2444.62,4400.18,452.18,,,,997.33,1638.28,,,,,,,,,,,,,,,,
2007,02,AK,Alaska,West,Pacific,65.5,51.75,13.75,1.09,,,1.11,,,29.59,,,31.59,2.16,0,35.76,,12,32.68,0.5,0,0,0,0,12,,,1266.04,922.38,281.17,1168.77,907.6,261.17,159,29.74,true,5167,564,4603,531,481,50,111,99,12,2570,2274,296,1797,1604,193,,,,,,,3272,2777,,,,,,,,,,,,,,,,,,,,482770,252995,229775,17726,9865,7861,23351,12090,11261,339262,180526,158736,72499,36503,35996,29932,14011,15921,5199.82,1077.08,13.57,20.45,5.98,6.15,4.75,8.72,43.57,7.22,119.47,99.36,262.24,364.58,122.37,242.1,358.74,113.66,1070.28,1819.4,245.46,2995.6,4875.82,636.05,475.35,818.86,106.56,757.53,1259.65,186.47,2478.65,4394.16,536.17,,,,677.76,1097.65,,,,,,,,,,,,,,,,
2006,02,AK,Alaska,West,Pacific,68,51.5,7.5,1.47,,,1.37,,,29.51,,,32.24,3.42,0,39.72,,14,31.14,0.24,0,0,0,0,14,,,1469.08,1077.13,391.96,1192.12,925.08,267.05,159.5,28.28,true,5069,518,4551,514,477,37,112,105,7,2466,2184,282,1827,1649,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,478954,250711,228243,17331,9529,7802,22731,11900,10831,338063,179530,158533,71899,36182,35717,28930,13570,15360,5105.86,1066.04,14.2,20.54,3.29,8.48,6.03,8.73,44.84,11.82,137.3,97.75,306.73,429.63,171.73,248.9,368.98,117,1058.35,1815.24,226.95,2965.78,5005.77,474.24,492.72,882.35,64.63,729.45,1216.51,177.88,2541.06,4557.51,498.36,,,,,,,,,,,,,,,,,,,,,
2005,02,AK,Alaska,West,Pacific,56,40.94,6.06,1.36,,,5.81,,,36.05,,,42.26,4.14,0,31.43,,16,29.57,0,0,0,0,0,16,,,1638.5,1606.75,177.5,1384.45,942.5,272.95,160,24.57,true,4812,465,4347,488,452,36,126,115,11,2338,2092,246,1728,1568,160,,,,,,,2868,2593,,,,,,,,,,,,,,,,,,,,471987,247422,224565,17002,9404,7598,21977,11556,10421,334083,177590,156493,70911,35704,35207,28014,13168,14846,4838.43,1025.12,11.86,16.55,2.7,8,26.44,10.79,59.6,14.78,112.19,87.71,347.15,649.4,79.04,293.32,380.93,121.55,1019.52,1756.92,207.07,2870.25,4806.47,473.81,573.33,995.15,105.56,699.83,1177.99,157.2,2436.86,4391.66,454.46,,,,607.64,1048.01,,,,,,,,,,,,,,,,
2004,02,AK,Alaska,West,Pacific,61.5,52.5,8,0.61,,,3.89,,,31.83,,,25.02,1.15,0,48.59,,13.33,26.66,0,0,0,0,0,13.33,,,1340.75,1098,242.75,835.93,359.63,99.3,146.34,12.91,true,4554,397,4157,482,454,28,140,133,7,2130,1931,199,1675,1523,152,111,103,8,,,,2746,2477,,,,,,,,,,,,,,,,,,,,464433,243181,221252,17012,9290,7722,21003,11013,9990,330364,175448,154916,69386,34843,34543,26668,12587,14081,4588.84,988.05,13.24,21.59,3.62,3.59,18.52,9.63,36.06,4.31,182.2,48.41,288.69,451.52,109.72,179.99,147.89,44.88,980.55,1709.43,179.43,2833.29,4886.98,362.6,666.57,1207.66,70.07,644.74,1100.61,128.46,2414.03,4371.04,440.03,416.23,818.3,56.81,591.26,1018.58,,,,,,,,,,,,,,,,
2003,02,AK,Alaska,West,Pacific,44,33,10,0.48,,,2.9,,,22.43,,,18.25,0.95,0,32.68,,10.67,26.34,0,0,0,0,0,10.67,,,1248.87,1019.63,229.25,1073.86,377.69,111.17,147.66,11.32,true,4527,392,4135,470,441,29,128,117,11,2155,1966,189,1644,1495,149,109,98,11,,,,2805,2511,,,,,,,,,,,,,,,,,,,,454718,237557,217161,16664,8991,7673,20005,10505,9500,324778,172080,152698,67801,34035,33766,25470,11946,13524,4544.66,999.45,9.68,13.89,4.6,2.88,14.5,6.91,26.92,3.73,128.31,44.44,274.65,429.21,105.57,236.16,158.99,51.19,995.56,1740.63,180.51,2820.45,4904.9,377.95,639.84,1113.76,115.79,663.53,1142.49,123.77,2424.74,4392.54,441.27,427.95,820.36,81.34,616.87,1057.01,,,,,,,,,,,,,,,,
2002,02,AK,Alaska,West,Pacific,71,56.6,13.4,0.41,,,3.34,,,31.36,,,34.89,1.99,0,52.64,,8,27.79,0,0,0,0,0,8,,,1467.69,1247.35,207.84,1549.01,586.63,169.38,160,18.36,true,4398,349,4049,490,459,31,149,130,19,1996,1833,163,1658,1533,125,91,81,10,,,,2152,1882,,,,,,,,,,,,,,,,,,,,448637,235061,213576,16708,9134,7574,19103,10058,9045,322242,171268,150974,66510,33368,33142,24074,11233,12841,4441.21,989.93,15.83,24.08,6.27,2.45,17.48,9.73,52.46,8.27,218.66,76.26,327.14,530.65,97.31,345.27,249.57,79.31,980.3,1722.53,163.41,2932.73,5025.18,409.29,779.98,1292.5,210.06,619.41,1070.25,107.97,2492.86,4594.22,377.16,378,721.09,77.88,479.68,800.64,,,,,,,,,,,,,,,,
2001,02,AK,Alaska,West,Pacific,68,56.67,11.33,0.54,,,3.59,,,25.73,,,36.5,2.66,0,53.32,,5.33,27.52,0,0,0,0,0,5.33,,,1531.75,1282,242.75,1785.86,603.82,181.04,159.34,14.68,true,4571,359,4212,523,475,48,120,111,9,2097,1926,171,1729,1607,122,98,89,9,,,,2152,1882,,,,,,,,,,,,,,,,,,,,440734,230767,209967,16171,8796,7375,17929,9414,8515,318277,169024,149253,65588,32883,32705,22769,10650,12119,4611.48,1046.32,15.43,24.56,5.4,3.34,20.02,8.08,55.65,11.68,234.18,64.47,347.55,555.54,115.61,405.2,261.66,86.22,1037.13,1825.22,170.98,3234.18,5400.18,650.85,669.31,1179.09,105.7,658.86,1139.48,114.57,2636.15,4887.02,373.03,430.41,835.68,74.26,488.28,815.54,,,,,,,,,,,,,,,,
2000,02,AK,Alaska,West,Pacific,55.5,45.97,9.53,0.54,,,3.34,,,23.81,,,25.68,2.16,0,41.07,,2.67,27.27,0,0,0,0,0,2.67,,,1606.88,1410.25,176.38,2022.72,620.99,192.73,160.66,14.43,true,4173,284,3889,505,474,31,110,100,10,1904,1764,140,1562,1465,97,88,82,6,,,,2466,2178,,,,,,,,,,,,,,,,,,,,434029,226934,207095,15749,8567,7182,16561,8643,7918,315282,167114,148168,64831,32464,32367,21606,10146,11460,4201.23,967.96,12.79,20.26,4.6,3.43,20.17,7.55,39.61,10,190.09,66.79,370.22,621.44,85.17,466.03,273.64,93.06,961.46,1713.71,137.14,3206.55,5532.86,431.63,664.21,1157.01,126.29,603.9,1055.57,94.49,2409.34,4512.69,299.69,407.29,808.2,52.36,568.16,959.75,,,,,,,,,,,,,,,,
1999,02,AK,Alaska,West,Pacific,67,60,3,0.73,,,3.33,,,12.54,,,27.08,1,0,18,,0,27,0,0,0,0,0,0,,,1274,,,2259.57,,,160,49,true,3949,288,3661,512,467,45,113,105,8,1859,1698,161,1518,1423,95,,,,,,,2436,2121,,,,,,,,,,,,,,,,,,,,431541,225903,205638,15823,8562,7261,15424,8041,7383,316474,167937,148537,63307,31722,31585,20513,9641,10872,3989,924.36,15.53,26.56,1.46,4.61,21.59,3.96,42.78,4.87,87.75,238.87,295.22,,,523.6,,,915.09,1620.61,140.05,3235.8,5454.33,619.75,732.62,1305.81,108.36,587.41,1011.09,108.39,2397.84,4485.85,300.78,,,,564.49,938.9,,,,,,,,,,,,,,,,
1998,02,AK,Alaska,West,Pacific,1556,1412,144,,,,,,,,,,,,,1003,,,,,,,,,,,,2647,,,,,,,,true,4097,302,3795,556,509,47,132,123,9,1878,1732,146,1459,1363,96,,,,,,,2647,2304,,,,,,,,,,,,,,,,,,,,426484,223643,202841,15762,8580,7182,14606,7611,6995,314678,167311,147367,61837,30959,30878,19601,9182,10419,5653,1325.49,364.84,631.36,70.99,,,,,,5117.09,,620.66,,,,,,960.65,1696.9,148.89,3527.47,5932.4,654.41,903.74,1616.08,128.66,596.8,1035.2,99.07,2359.43,4402.6,310.9,,,,620.66,1030.21,,,,,,,,,,,,,,,,
1997,02,AK,Alaska,West,Pacific,1594,1446,148,,,,,,,,,,,,,1066,,,,,,,,,,,,2685,,,,,,,,true,4165,304,3861,600,538,62,138,131,7,1895,1743,152,1451,1370,81,,,,,,,2685,2346,,,,,,,,,,,,,,,,,,,,423682,222366,201316,15480,8435,7045,14261,7452,6809,314623,167271,147352,60354,30295,30059,18964,8913,10051,5759,1359.27,376.23,650.28,73.52,,,,,,5621.18,,633.73,,,,,,983.05,1736.33,151.01,3875.97,6378.19,880.06,967.67,1757.92,102.81,602.31,1042.02,103.15,2404.15,4522.2,269.47,,,,633.73,1055.02,,,,,,,,,,,,,,,,
1996,02,AK,Alaska,West,Pacific,1381,1250,131,,,,,,,,,,,,,953,,,,,,,,,,,,2377,,,,,,,,true,3716,270,3446,529,486,43,115,108,7,1790,1651,139,1216,1138,78,65,62,3,,,,2377,2089,,,,,,,,,,,,,,,,,,,,421942,222051,199891,15244,8372,6872,13778,7285,6493,315485,168171,147314,59288,29773,29515,18147,8450,9697,5097,1207.99,327.3,562.93,65.54,,,,,,5251.56,,563.35,,,,,,880.69,1551.9,135.07,3470.22,5805.06,625.73,834.66,1482.5,107.81,567.38,981.74,94.36,2051.01,3822.26,264.27,358.19,733.73,30.94,563.35,940.77,,,,,,,,,,,,,,,,
1995,02,AK,Alaska,West,Pacific,1480,1352,128,,,,,,,,,,,,,986,,,,,,,,,,,,1999,,,,,,,,true,3522,243,3279,481,440,41,113,106,7,1749,1630,119,1122,1049,73,54,51,3,,,,1999,1783,,,,,,,,,,,,,,,,,,,,418039,220617,197422,15485,8420,7065,13323,7046,6277,314561,168216,146345,57573,28924,28649,17097,8011,9086,5002,1196.54,354.03,612.83,64.84,,,,,,5767.09,,478.19,,,,,,842.51,1486.29,123.09,3106.23,5225.65,580.33,848.16,1504.4,111.52,556.01,968.99,81.31,1948.83,3626.75,254.81,315.84,636.62,33.02,478.19,808.19,,,,,,,,,,,,,,,,
1994,02,AK,Alaska,West,Pacific,1358,1246,112,,,,,,,,,,,,,896,,,,,,,,,,,,,,,,,,,,true,3292,218,3074,455,415,40,96,86,10,1594,1492,102,1110,1045,65,37,36,1,,,,,,,,,,,,,,,,,,,,,,,,,415063,220564,194499,16296,8941,7355,12902,6844,6058,312995,168450,144545,56471,28639,27832,16399,7690,8709,4650,1120.31,327.18,564.92,57.58,,,,,,5463.75,,,,,,,,793.13,1393.7,112.08,2792.1,4641.54,543.85,744.07,1256.58,165.07,509.27,885.72,70.57,1965.61,3648.87,233.54,225.62,468.14,11.48,,,,,,,,,,,,,,,,,,
1993,02,AK,Alaska,West,Pacific,33,31.33,1.67,0.91,,,3,,,18.72,,,16.55,0,,17,,0,1,0,0,0,0,0,0,,,900.66,,,904.04,,,65,16,true,2703,122,2581,336,313,23,62,58,4,1385,1325,60,887,853,34,33,32,1,,,,2613,2395,,,,,,,,,,,,,,,,,,,,411623,219602,192021,16769,9365,7404,12376,6613,5763,311539,168385,143154,55288,27887,27401,15651,7352,8299,2735,664.44,8.02,14.27,0.87,5.43,24.24,6.01,29.93,0,108.62,102.23,218.81,,,219.63,,,656.67,1175.31,63.53,2003.7,3342.23,310.64,500.97,877.06,69.41,444.57,786.89,41.91,1604.33,3058.77,124.08,210.85,435.26,12.05,634.8,1090.61,,,,,,,,,,,,,,,,
1992,02,AK,Alaska,West,Pacific,4,4,0,0,,,0,,,4,,,3.56,0.44,,1,,0,0,0,0,,0,0,0,,,425.12,,,447.57,,,16,3,true,2865,149,2716,355,327,28,76,75,1,1459,1377,82,937,902,35,37,35,2,,,,1491,1365,,,,,,,,,,,,,,,,,,,,403693,215695,187998,15689,8804,6885,12017,6485,5532,307158,166254,140904,54074,27212,26862,14755,6940,7815,2869,710.69,0.99,1.85,0,0,0,1.3,6.58,2.98,6.78,20.33,105.31,,,110.87,,,709.7,1259.19,79.26,2262.73,3714.22,406.68,632.44,1156.52,18.08,475,828.25,58.2,1732.81,3314.71,130.3,250.76,504.32,25.59,369.34,632.84,,,,,,,,,,,,,,,,
