jid,fips,county_name,state_abbr,project_year,project_type,project_status,source_1,source_2,source_3,source_4,source_5,source_6,source_7,source_8,project_amount,jail_capacity_before,jail_capacity_after
19013002,19013,Black Hawk,IA,2022,Jail Expansion,Pending,https://perma.cc/4B59-SUJW,0,0,0,0,0,0,0,,272,
19015001,19015,Boone,IA,2002,New Jail,Passed,https://perma.cc/S2LW-YKWK,0,0,0,0,0,0,0,4800000,0,56
19017001,19017,Bremer,IA,2003,New Jail,Passed,https://perma.cc/9YZ8-9Q7N,https://perma.cc/2LAW-KGF4,0,0,0,0,0,0,5200000,15,79
19021001,19021,Buena Vista,IA,2006,New Jail,Passed,https://perma.cc/Z5HN-XHHL,https://perma.cc/3Q7L-YEJH,0,0,0,0,0,0,5300000,0,48
19027001,19027,Carroll,IA,2021,New Jail,Passed,https://perma.cc/K4XZ-BWV6,https://perma.cc/6LR7-YSEM,https://perma.cc/2CTK-52TL,0,0,0,0,0,10900000,14,42
19033002,19033,Cerro Gordo,IA,2006,New Jail,Passed,https://perma.cc/Z5HN-XHHL,https://perma.cc/X6Z8-KSVR,https://perma.cc/X6T5-WHKK,0,0,0,0,0,11800000,0,69
19035002,19035,Cherokee,IA,2009,New Jail,Failed,https://perma.cc/TP55-2BYG,https://perma.cc/SK8N-KZSN,0,0,0,0,0,0,3500000,12,30
19037001,19037,Chickasaw,IA,2022,New Jail,Pending,https://perma.cc/M524-4KFW,https://perma.cc/RA5P-GRER,https://perma.cc/MF5Z-C3HL,0,0,0,0,0,13200000,11,
19041001,19041,Clay,IA,2013,New Jail,Passed,https://perma.cc/8L9N-WU42,https://perma.cc/E3EP-XQRD,0,0,0,0,0,0,5600000,0,28
19043001,19043,Clayton,IA,2004,New Jail,Passed,https://perma.cc/A5G3-66K7,https://perma.cc/R29A-CNTD,0,0,0,0,0,0,2950000,10,40
19045001,19045,Clinton,IA,2014,New Jail,Passed,https://perma.cc/Q22T-ZG6G,https://perma.cc/W5C4-6MRZ,0,0,0,0,0,0,22000000,0,115
19047001,19047,Crawford,IA,2007,New Jail,Passed,https://perma.cc/42SP-362A,https://perma.cc/9CER-VWPT,0,0,0,0,0,0,1700000,13,38
19049001,19049,Dallas,IA,2013,New Jail,Failed,https://perma.cc/Q9RZ-23M2,https://perma.cc/Q24K-B29F,https://perma.cc/MG5H-CSF6,https://perma.cc/BA2G-T6CR,0,0,0,0,22000000,48,92
19049001,19049,Dallas,IA,2014,New Jail,Failed,https://perma.cc/G5PA-GN3S,https://perma.cc/EDQ3-L7NH,https://docs.google.com/spreadsheets/d/1Rv0FNrjvhOwHF5NWWJ8DwzES1KcgPoPPSIIb6F-MvwE/edit#gid=0,https://perma.cc/3F8B-UF76,https://perma.cc/CW6S-M3ST,0,0,0,16300000,48,90
19049001,19049,Dallas,IA,2015,New Jail,Failed,https://perma.cc/S6FU-GN2A,https://perma.cc/Y6UW-BMDF,0,0,0,0,0,0,16800000,48,90
19049001,19049,Dallas,IA,2017,New Jail,Passed,https://perma.cc/N89V-268L,https://perma.cc/V5PU-PHN7,https://perma.cc/E9AQ-TGY2,https://perma.cc/Y6UW-BMDF,0,0,0,0,23000000,48,130
19051001,19051,Davis,IA,2017,New Jail,Passed,https://perma.cc/GLC5-75NA,0,0,0,0,0,0,0,5900000,0,41
19053001,19053,Decatur,IA,2013,New Jail,Passed,https://perma.cc/L2HM-EESE,https://decaturcountyiowa.gov/docview.aspx?doctype=fd&docid=13131,Called sheriff’s office on 06/14/2022 at 2:30 PM to obtain bed count,0,0,0,0,0,3300000,0,24
19055001,19055,Delaware,IA,2014,New Jail,Failed,https://perma.cc/6MBT-YR2J,https://perma.cc/5TSJ-ZDJX,https://perma.cc/9JLH-VKS8?type=image,0,0,0,0,0,5100000,12,27
19055001,19055,Delaware,IA,2015,New Jail,Failed,https://perma.cc/6MBT-YR2J,https://perma.cc/5TSJ-ZDJX,https://perma.cc/9JLH-VKS8?type=image,0,0,0,0,0,5100000,12,27
19055001,19055,Delaware,IA,2019,New Jail,Passed,https://perma.cc/6MBT-YR2J,0,0,0,0,0,0,0,5900000,12,42
19061001,19061,Dubuque,IA,2003,New Jail,Passed,https://perma.cc/3TU3-K2YR,0,0,0,0,0,0,0,8300000.000000001,46,212
19065001,19065,Fayette,IA,2002,New Jail,Passed,https://perma.cc/R29A-CNTD,https://perma.cc/5VFM-YMC8,0,0,0,0,0,0,1010000,0,44
19067001,19067,Floyd,IA,2018,New Jail,Passed,https://www.floydcoia.org/456/LEC-Courthouse-Updates-FAQ,https://perma.cc/8A6F-AXVA,https://perma.cc/E7UY-BW3E,0,0,0,0,0,16100000.000000002,19,32
19071001,19071,Fremont,IA,2015,New Jail,Passed,https://perma.cc/MLV4-G9JZ,https://perma.cc/29MA-5EM7,0,0,0,0,0,0,5500000,9,20
19073001,19073,Greene,IA,2021,New Jail,Pending,https://perma.cc/QUL3-DNCU,https://perma.cc/M4ZZ-TT8B,https://perma.cc/YBP6-E7SH,0,0,0,0,0,10000000,0,30
19077001,19077,Guthrie,IA,2021,New Jail,Passed,https://perma.cc/2FZW-Z8NX,https://perma.cc/8U6X-STD2,0,0,0,0,0,0,9500000,10,32
19079002,19079,Hamilton,IA,2004,New Jail,Passed,https://perma.cc/MUH8-Y9NB,https://perma.cc/4UNZ-FAAL,0,0,0,0,0,0,3200000,0,44
19083001,19083,Hardin,IA,2014,Jail Expansion,Passed,https://perma.cc/X799-4WFU,0,0,0,0,0,0,0,2100000,30,60
19087001,19087,Henry,IA,2020,New Jail,Pending,https://perma.cc/UWE2-4DLA,https://perma.cc/ELM5-4YME,https://perma.cc/W6SD-TDVB,0,0,0,0,0,9100000,8,108
19089001,19089,Howard,IA,2010,New Jail,Failed,https://perma.cc/TQ99-SLMX,0,0,0,0,0,0,0,7000000,10,
19089001,19089,Howard,IA,2019,New Jail,Passed,https://perma.cc/83HS-3UG3,0,0,0,0,0,0,0,5000000,0,40
19097001,19097,Jackson,IA,2018,New Jail,Failed,https://perma.cc/XB3G-MUMJ,https://perma.cc/77PK-7RWV,0,0,0,0,0,0,6900000,11,36
19097001,19097,Jackson,IA,2019,New Jail,Failed,https://perma.cc/77PK-7RWV,0,0,0,0,0,0,0,6500000,11,36
19097001,19097,Jackson,IA,2021,New Jail,Passed,https://perma.cc/XB3G-MUMJ,https://perma.cc/F934-TF64,https://perma.cc/77PK-7RWV,0,0,0,0,0,6870000,11,30
19099001,19099,Jasper,IA,2019,Jail Expansion,Passed,https://perma.cc/4PZL-F9SP,0,0,0,0,0,0,0,130000,84,92
19099001,19099,Jasper,IA,2021,New Jail,Passed,https://perma.cc/R4PJ-H4B2,https://perma.cc/4PZL-F9SP,0,0,0,0,0,0,4000000,0,40
19103001,19103,Johnson,IA,2012,Jail Expansion,Failed,https://perma.cc/8AW8-TFWS,https://perma.cc/EC9C-EMKG,https://perma.cc/65KM-5ZFM,https://perma.cc/AEB4-VTYR,0,0,0,0,46800000,92,243
19103001,19103,Johnson,IA,2013,Jail Expansion,Failed,https://perma.cc/8AW8-TFWS,https://perma.cc/65KM-5ZFM,https://perma.cc/7PCR-RLK5,https://perma.cc/AEB4-VTYR,0,0,0,0,43500000,92,195
19111002,19111,Lee,IA,2010,Jail Expansion,Passed,https://perma.cc/4U27-8XT8,https://perma.cc/5RYH-YUD3,0,0,0,0,0,0,6500000,65,92
19111002,19111,Lee,IA,2012,Jail Expansion,Passed,https://perma.cc/4U27-8XT8,https://perma.cc/2YA3-5RKP,0,0,0,0,0,0,455000,92,120
19115001,19115,Louisa,IA,2009,New Jail,Passed,https://perma.cc/ZT9M-VKF4,https://perma.cc/SR7X-76EE,0,0,0,0,0,0,3560000,10,38
19119001,19119,Lyon,IA,2002,New Jail,Passed,https://perma.cc/E44F-Y6WN,0,0,0,0,0,0,0,2800000,0,33
19129001,19129,Mills,IA,2014,New Jail,Passed,https://perma.cc/9VR2-Z5BV,https://perma.cc/J4TJ-L497,https://perma.cc/E4G4-XPKQ,0,0,0,0,0,6200000,13,24
19133001,19133,Monona,IA,2021,New Jail,Failed,https://perma.cc/TZ9Y-59NR,0,0,0,0,0,0,0,6200000,12,32
19135001,19135,Monroe,IA,2016,New Jail,Passed,https://perma.cc/YM53-XB5J,0,0,0,0,0,0,0,6200000,0,27
